ticker,rating_date,year_qtr,rating_simplified,investment_grade,filing_path
FE,2015-08-14,2015_Q3,BB,0,sec_filings/FE/2015_Q3.txt
FE,2014-06-13,2014_Q2,BB,0,sec_filings/FE/2014_Q2.txt
FE,2014-08-29,2014_Q3,BB,0,sec_filings/FE/2014_Q3.txt
FE,2012-06-15,2012_Q2,BBB,1,sec_filings/FE/2012_Q2.txt
FE,2013-03-01,2013_Q1,BBB,1,sec_filings/FE/2013_Q1.txt
VGR,2013-12-11,2013_Q4,B,0,sec_filings/VGR/2013_Q4.txt
VGR,2015-08-28,2015_Q3,B,0,sec_filings/VGR/2015_Q3.txt
VGR,2011-11-13,2011_Q4,BBB,1,sec_filings/VGR/2011_Q4.txt
VGR,2016-11-29,2016_Q4,BB,0,sec_filings/VGR/2016_Q4.txt
VGR,2013-01-30,2013_Q1,B,0,sec_filings/VGR/2013_Q1.txt
CMS,2013-11-04,2013_Q4,BBB,1,sec_filings/CMS/2013_Q4.txt
CMS,2015-11-12,2015_Q4,BBB,1,sec_filings/CMS/2015_Q4.txt
CMS,2015-02-09,2015_Q1,BBB,1,sec_filings/CMS/2015_Q1.txt
CMS,2012-06-15,2012_Q2,BB,0,sec_filings/CMS/2012_Q2.txt
CMS,2013-03-15,2013_Q1,BBB,1,sec_filings/CMS/2013_Q1.txt
CMS,2016-10-31,2016_Q4,BBB,1,sec_filings/CMS/2016_Q4.txt
GE,2015-10-05,2015_Q4,AA,1,sec_filings/GE/2015_Q4.txt
GE,2014-05-14,2014_Q2,AA,1,sec_filings/GE/2014_Q2.txt
GE,2016-10-05,2016_Q4,AA,1,sec_filings/GE/2016_Q4.txt
LMT,2014-05-07,2014_Q2,BBB,1,sec_filings/LMT/2014_Q2.txt
LMT,2015-04-29,2015_Q2,A,1,sec_filings/LMT/2015_Q2.txt
LMT,2015-07-27,2015_Q3,BBB,1,sec_filings/LMT/2015_Q3.txt
LMT,2012-06-15,2012_Q2,BBB,1,sec_filings/LMT/2012_Q2.txt
LMT,2012-12-14,2012_Q4,BBB,1,sec_filings/LMT/2012_Q4.txt
OXY,2015-11-12,2015_Q4,A,1,sec_filings/OXY/2015_Q4.txt
OXY,2013-09-23,2013_Q3,A,1,sec_filings/OXY/2013_Q3.txt
OXY,2014-12-02,2014_Q4,A,1,sec_filings/OXY/2014_Q4.txt
OXY,2012-06-19,2012_Q2,A,1,sec_filings/OXY/2012_Q2.txt
OXY,2016-11-04,2016_Q4,A,1,sec_filings/OXY/2016_Q4.txt
PNW,2015-12-04,2015_Q4,A,1,sec_filings/PNW/2015_Q4.txt
PNW,2014-11-26,2014_Q4,A,1,sec_filings/PNW/2014_Q4.txt
PNW,2014-06-06,2014_Q2,AA,1,sec_filings/PNW/2014_Q2.txt
CVS,2015-11-16,2015_Q4,AA,1,sec_filings/CVS/2015_Q4.txt
CVS,2013-08-29,2013_Q3,A,1,sec_filings/CVS/2013_Q3.txt
CVS,2015-05-18,2015_Q2,A,1,sec_filings/CVS/2015_Q2.txt
CVS,2012-06-15,2012_Q2,BBB,1,sec_filings/CVS/2012_Q2.txt
CVS,2012-11-27,2012_Q4,BBB,1,sec_filings/CVS/2012_Q4.txt
CVS,2016-07-21,2016_Q3,BBB,1,sec_filings/CVS/2016_Q3.txt
WY,2014-02-21,2014_Q1,BBB,1,sec_filings/WY/2014_Q1.txt
WY,2014-08-19,2014_Q3,BBB,1,sec_filings/WY/2014_Q3.txt
WY,2013-04-22,2013_Q2,BBB,1,sec_filings/WY/2013_Q2.txt
WY,2015-11-09,2015_Q4,BBB,1,sec_filings/WY/2015_Q4.txt
WY,2012-06-15,2012_Q2,BB,0,sec_filings/WY/2012_Q2.txt
EPAY,2014-12-03,2014_Q4,B,0,sec_filings/EPAY/2014_Q4.txt
EPAY,2015-12-22,2015_Q4,B,0,sec_filings/EPAY/2015_Q4.txt
UVV,2014-06-27,2014_Q2,BBB,1,sec_filings/UVV/2014_Q2.txt
UVV,2014-12-12,2014_Q4,BBB,1,sec_filings/UVV/2014_Q4.txt
UVV,2012-06-15,2012_Q2,BB,0,sec_filings/UVV/2012_Q2.txt
UVV,2015-09-09,2015_Q3,BBB,1,sec_filings/UVV/2015_Q3.txt
UVV,2013-05-30,2013_Q2,BBB,1,sec_filings/UVV/2013_Q2.txt
EMR,2012-06-15,2012_Q2,A,1,sec_filings/EMR/2012_Q2.txt
EMR,2015-05-18,2015_Q2,A,1,sec_filings/EMR/2015_Q2.txt
EMR,2013-02-14,2013_Q1,A,1,sec_filings/EMR/2013_Q1.txt
MRO,2013-07-31,2013_Q3,BBB,1,sec_filings/MRO/2013_Q3.txt
MRO,2012-10-24,2012_Q4,BBB,1,sec_filings/MRO/2012_Q4.txt
MRO,2012-06-15,2012_Q2,BBB,1,sec_filings/MRO/2012_Q2.txt
MRO,2014-12-10,2014_Q4,A,1,sec_filings/MRO/2014_Q4.txt
MRO,2015-11-13,2015_Q4,BB,0,sec_filings/MRO/2015_Q4.txt
CRC,2015-11-12,2015_Q4,BB,0,sec_filings/CRC/2015_Q4.txt
CRC,2016-08-24,2016_Q3,CCC-,0,sec_filings/CRC/2016_Q3.txt
CRC,2014-09-04,2014_Q3,BB,0,sec_filings/CRC/2014_Q3.txt
GATX,2014-10-29,2014_Q4,BB,0,sec_filings/GATX/2014_Q4.txt
GATX,2014-05-14,2014_Q2,BB,0,sec_filings/GATX/2014_Q2.txt
GATX,2015-10-28,2015_Q4,BB,0,sec_filings/GATX/2015_Q4.txt
GATX,2013-04-16,2013_Q2,BB,0,sec_filings/GATX/2013_Q2.txt
GATX,2016-10-20,2016_Q4,BBB,1,sec_filings/GATX/2016_Q4.txt
EPD,2013-11-26,2013_Q4,A,1,sec_filings/EPD/2013_Q4.txt
EPD,2014-11-14,2014_Q4,A,1,sec_filings/EPD/2014_Q4.txt
EPD,2015-07-27,2015_Q3,A,1,sec_filings/EPD/2015_Q3.txt
EPD,2013-03-22,2013_Q1,BBB,1,sec_filings/EPD/2013_Q1.txt
RBA,2016-12-02,2016_Q4,BB,0,sec_filings/RBA/2016_Q4.txt
CBT,2012-07-06,2012_Q3,BBB,1,sec_filings/CBT/2012_Q3.txt
CBT,2012-06-21,2012_Q2,BBB,1,sec_filings/CBT/2012_Q2.txt
CBT,2015-05-13,2015_Q2,BBB,1,sec_filings/CBT/2015_Q2.txt
CBT,2015-12-02,2015_Q4,BBB,1,sec_filings/CBT/2015_Q4.txt
CBT,2014-02-24,2014_Q1,BBB,1,sec_filings/CBT/2014_Q1.txt
CBT,2016-09-06,2016_Q3,BBB,1,sec_filings/CBT/2016_Q3.txt
PSX,2014-11-12,2014_Q4,A,1,sec_filings/PSX/2014_Q4.txt
PSX,2016-10-31,2016_Q4,BBB,1,sec_filings/PSX/2016_Q4.txt
PSX,2015-08-31,2015_Q3,A,1,sec_filings/PSX/2015_Q3.txt
PSX,2014-05-14,2014_Q2,BBB,1,sec_filings/PSX/2014_Q2.txt
PSX,2013-03-29,2013_Q1,BBB,1,sec_filings/PSX/2013_Q1.txt
EFX,2012-06-15,2012_Q2,BBB,1,sec_filings/EFX/2012_Q2.txt
EFX,2013-08-09,2013_Q3,A,1,sec_filings/EFX/2013_Q3.txt
EFX,2015-10-27,2015_Q4,A,1,sec_filings/EFX/2015_Q4.txt
EFX,2014-07-28,2014_Q3,A,1,sec_filings/EFX/2014_Q3.txt
EFX,2012-12-10,2012_Q4,BBB,1,sec_filings/EFX/2012_Q4.txt
XOM,2013-09-24,2013_Q3,AA,1,sec_filings/XOM/2013_Q3.txt
XOM,2014-11-26,2014_Q4,AA,1,sec_filings/XOM/2014_Q4.txt
XOM,2016-04-26,2016_Q2,AA,1,sec_filings/XOM/2016_Q2.txt
QCOM,2015-05-13,2015_Q2,A,1,sec_filings/QCOM/2015_Q2.txt
QCOM,2016-11-14,2016_Q4,A,1,sec_filings/QCOM/2016_Q4.txt
CSX,2014-09-09,2014_Q3,BBB,1,sec_filings/CSX/2014_Q3.txt
CSX,2015-10-14,2015_Q4,A,1,sec_filings/CSX/2015_Q4.txt
CSX,2012-10-17,2012_Q4,BBB,1,sec_filings/CSX/2012_Q4.txt
CSX,2012-06-15,2012_Q2,BBB,1,sec_filings/CSX/2012_Q2.txt
CSX,2013-07-17,2013_Q3,A,1,sec_filings/CSX/2013_Q3.txt
CSX,2016-10-14,2016_Q4,BBB,1,sec_filings/CSX/2016_Q4.txt
CSX,2011-04-28,2011_Q2,BBB,1,sec_filings/CSX/2011_Q2.txt
HAL,2013-08-26,2013_Q3,AA,1,sec_filings/HAL/2013_Q3.txt
HAL,2015-01-16,2015_Q1,A,1,sec_filings/HAL/2015_Q1.txt
HAL,2015-11-05,2015_Q4,A,1,sec_filings/HAL/2015_Q4.txt
HAL,2012-06-15,2012_Q2,A,1,sec_filings/HAL/2012_Q2.txt
LB,2015-01-16,2015_Q1,BB,0,sec_filings/LB/2015_Q1.txt
LB,2013-07-01,2013_Q3,BBB,1,sec_filings/LB/2013_Q3.txt
LB,2015-12-10,2015_Q4,BBB,1,sec_filings/LB/2015_Q4.txt
UFS,2015-12-01,2015_Q4,BBB,1,sec_filings/UFS/2015_Q4.txt
UFS,2014-05-12,2014_Q2,BB,0,sec_filings/UFS/2014_Q2.txt
UFS,2012-06-15,2012_Q2,BBB,1,sec_filings/UFS/2012_Q2.txt
UFS,2015-03-19,2015_Q1,BBB,1,sec_filings/UFS/2015_Q1.txt
UFS,2012-08-20,2012_Q3,BBB,1,sec_filings/UFS/2012_Q3.txt
HES,2015-05-07,2015_Q2,BBB,1,sec_filings/HES/2015_Q2.txt
HES,2013-09-11,2013_Q3,A,1,sec_filings/HES/2013_Q3.txt
HES,2015-08-14,2015_Q3,BB,0,sec_filings/HES/2015_Q3.txt
HES,2016-09-19,2016_Q3,BB,0,sec_filings/HES/2016_Q3.txt
CHDN,2015-12-02,2015_Q4,B,0,sec_filings/CHDN/2015_Q4.txt
CHDN,2013-12-09,2013_Q4,B,0,sec_filings/CHDN/2013_Q4.txt
UNH,2014-12-03,2014_Q4,A,1,sec_filings/UNH/2014_Q4.txt
UNH,2012-06-15,2012_Q2,A,1,sec_filings/UNH/2012_Q2.txt
UNH,2012-10-17,2012_Q4,A,1,sec_filings/UNH/2012_Q4.txt
UNH,2015-07-20,2015_Q3,A,1,sec_filings/UNH/2015_Q3.txt
MMC,2013-11-27,2013_Q4,A,1,sec_filings/MMC/2013_Q4.txt
MMC,2015-10-30,2015_Q4,A,1,sec_filings/MMC/2015_Q4.txt
MMC,2015-06-04,2015_Q2,A,1,sec_filings/MMC/2015_Q2.txt
MMC,2013-03-04,2013_Q1,A,1,sec_filings/MMC/2013_Q1.txt
TOT,2012-06-15,2012_Q2,AA,1,sec_filings/TOT/2012_Q2.txt
TOT,2005-08-16,2005_Q3,AA,1,sec_filings/TOT/2005_Q3.txt
BAX,2012-06-15,2012_Q2,A,1,sec_filings/BAX/2012_Q2.txt
BAX,2015-02-10,2015_Q1,A,1,sec_filings/BAX/2015_Q1.txt
BAX,2015-08-05,2015_Q3,BBB,1,sec_filings/BAX/2015_Q3.txt
BAX,2013-08-20,2013_Q3,A,1,sec_filings/BAX/2013_Q3.txt
BAX,2016-08-10,2016_Q3,BBB,1,sec_filings/BAX/2016_Q3.txt
NAV,2012-08-06,2012_Q3,CCC-,0,sec_filings/NAV/2012_Q3.txt
NAV,2013-12-16,2013_Q4,CCC,0,sec_filings/NAV/2013_Q4.txt
NAV,2012-06-15,2012_Q2,BB,0,sec_filings/NAV/2012_Q2.txt
NAV,2015-09-17,2015_Q3,B,0,sec_filings/NAV/2015_Q3.txt
NAV,2014-07-09,2014_Q3,B,0,sec_filings/NAV/2014_Q3.txt
SEE,2013-12-10,2013_Q4,BB,0,sec_filings/SEE/2013_Q4.txt
SEE,2011-08-12,2011_Q3,BB,0,sec_filings/SEE/2011_Q3.txt
SEE,2015-06-08,2015_Q2,B,0,sec_filings/SEE/2015_Q2.txt
SEE,2016-06-08,2016_Q2,BBB,1,sec_filings/SEE/2016_Q2.txt
SEE,2011-06-01,2011_Q2,BB,0,sec_filings/SEE/2011_Q2.txt
PRGO,2013-11-05,2013_Q4,BBB,1,sec_filings/PRGO/2013_Q4.txt
PRGO,2013-05-09,2013_Q2,BBB,1,sec_filings/PRGO/2013_Q2.txt
PRGO,2015-04-09,2015_Q2,BBB,1,sec_filings/PRGO/2015_Q2.txt
AEE,2015-06-03,2015_Q2,A,1,sec_filings/AEE/2015_Q2.txt
AEE,2015-11-30,2015_Q4,A,1,sec_filings/AEE/2015_Q4.txt
AEE,2014-06-13,2014_Q2,A,1,sec_filings/AEE/2014_Q2.txt
AEE,2012-06-15,2012_Q2,BBB,1,sec_filings/AEE/2012_Q2.txt
COP,2014-06-03,2014_Q2,AA,1,sec_filings/COP/2014_Q2.txt
COP,2015-11-09,2015_Q4,BBB,1,sec_filings/COP/2015_Q4.txt
COP,2014-11-17,2014_Q4,AA,1,sec_filings/COP/2014_Q4.txt
COP,2012-06-15,2012_Q2,A,1,sec_filings/COP/2012_Q2.txt
COP,2013-05-01,2013_Q2,A,1,sec_filings/COP/2013_Q2.txt
DNR,2013-08-23,2013_Q3,BB,0,sec_filings/DNR/2013_Q3.txt
DNR,2016-02-09,2016_Q1,BB,0,sec_filings/DNR/2016_Q1.txt
DNR,2014-08-27,2014_Q3,BB,0,sec_filings/DNR/2014_Q3.txt
DNR,2012-06-15,2012_Q2,B,0,sec_filings/DNR/2012_Q2.txt
DNR,2013-01-22,2013_Q1,B,0,sec_filings/DNR/2013_Q1.txt
ES,2015-11-10,2015_Q4,A,1,sec_filings/ES/2015_Q4.txt
XEL,2014-06-04,2014_Q2,A,1,sec_filings/XEL/2014_Q2.txt
XEL,2015-09-24,2015_Q3,A,1,sec_filings/XEL/2015_Q3.txt
XEL,2015-01-20,2015_Q1,A,1,sec_filings/XEL/2015_Q1.txt
XEL,2012-06-15,2012_Q2,BBB,1,sec_filings/XEL/2012_Q2.txt
XEL,2013-05-06,2013_Q2,BBB,1,sec_filings/XEL/2013_Q2.txt
XEL,2016-11-29,2016_Q4,A,1,sec_filings/XEL/2016_Q4.txt
AA,2015-10-14,2015_Q4,BB,0,sec_filings/AA/2015_Q4.txt
PFE,2013-12-19,2013_Q4,AA,1,sec_filings/PFE/2013_Q4.txt
PFE,2015-10-29,2015_Q4,A,1,sec_filings/PFE/2015_Q4.txt
PFE,2014-09-16,2014_Q3,AA,1,sec_filings/PFE/2014_Q3.txt
PFE,2012-06-15,2012_Q2,A,1,sec_filings/PFE/2012_Q2.txt
PBI,2014-05-28,2014_Q2,BBB,1,sec_filings/PBI/2014_Q2.txt
PBI,2014-11-18,2014_Q4,BBB,1,sec_filings/PBI/2014_Q4.txt
PBI,2012-11-27,2012_Q4,BBB,1,sec_filings/PBI/2012_Q4.txt
PBI,2015-09-17,2015_Q3,BBB,1,sec_filings/PBI/2015_Q3.txt
PBI,2012-06-15,2012_Q2,BBB,1,sec_filings/PBI/2012_Q2.txt
PBI,2016-10-14,2016_Q4,BBB,1,sec_filings/PBI/2016_Q4.txt
PBI,2010-09-30,2010_Q3,BBB,1,sec_filings/PBI/2010_Q3.txt
RIO,2015-03-04,2015_Q1,A,1,sec_filings/RIO/2015_Q1.txt
RIO,2016-02-01,2016_Q1,A,1,sec_filings/RIO/2016_Q1.txt
RIO,2014-04-07,2014_Q2,A,1,sec_filings/RIO/2014_Q2.txt
RIO,2012-06-15,2012_Q2,A,1,sec_filings/RIO/2012_Q2.txt
NI,2015-08-06,2015_Q3,BBB,1,sec_filings/NI/2015_Q3.txt
MSFT,2013-12-04,2013_Q4,AA+,1,sec_filings/MSFT/2013_Q4.txt
MSFT,2015-08-18,2015_Q3,AA+,1,sec_filings/MSFT/2015_Q3.txt
MSFT,2014-08-20,2014_Q3,AA+,1,sec_filings/MSFT/2014_Q3.txt
MSFT,2013-05-01,2013_Q2,AA+,1,sec_filings/MSFT/2013_Q2.txt
MSFT,2016-08-15,2016_Q3,AA+,1,sec_filings/MSFT/2016_Q3.txt
GM,2014-11-04,2014_Q4,BB,0,sec_filings/GM/2014_Q4.txt
GM,2015-09-28,2015_Q3,BBB,1,sec_filings/GM/2015_Q3.txt
GM,2014-06-11,2014_Q2,BBB,1,sec_filings/GM/2014_Q2.txt
SANM,2012-06-15,2012_Q2,BB,0,sec_filings/SANM/2012_Q2.txt
SANM,2012-07-19,2012_Q3,BB,0,sec_filings/SANM/2012_Q3.txt
SANM,2016-10-07,2016_Q4,BB,0,sec_filings/SANM/2016_Q4.txt
SANM,2014-10-30,2014_Q4,BB,0,sec_filings/SANM/2014_Q4.txt
SANM,2014-05-20,2014_Q2,BB,0,sec_filings/SANM/2014_Q2.txt
SANM,2016-06-09,2016_Q2,BB,0,sec_filings/SANM/2016_Q2.txt
CCL,2016-10-13,2016_Q4,A,1,sec_filings/CCL/2016_Q4.txt
LYB,2013-05-29,2013_Q2,BBB,1,sec_filings/LYB/2013_Q2.txt
LYB,2014-10-14,2014_Q4,BBB,1,sec_filings/LYB/2014_Q4.txt
LYB,2013-08-08,2013_Q3,BBB,1,sec_filings/LYB/2013_Q3.txt
LYB,2016-01-21,2016_Q1,BBB,1,sec_filings/LYB/2016_Q1.txt
LYB,2012-06-15,2012_Q2,BB,0,sec_filings/LYB/2012_Q2.txt
INGR,2015-05-27,2015_Q2,A,1,sec_filings/INGR/2015_Q2.txt
INGR,2015-12-01,2015_Q4,A,1,sec_filings/INGR/2015_Q4.txt
INGR,2013-12-05,2013_Q4,A,1,sec_filings/INGR/2013_Q4.txt
INGR,2012-06-15,2012_Q2,BBB,1,sec_filings/INGR/2012_Q2.txt
INGR,2012-09-18,2012_Q3,BBB,1,sec_filings/INGR/2012_Q3.txt
GLP,2016-06-16,2016_Q2,B,0,sec_filings/GLP/2016_Q2.txt
GLP,2015-06-01,2015_Q2,B,0,sec_filings/GLP/2015_Q2.txt
GLP,2014-06-16,2014_Q2,B,0,sec_filings/GLP/2014_Q2.txt
VC,2016-03-15,2016_Q1,BB,0,sec_filings/VC/2016_Q1.txt
VC,2015-03-23,2015_Q1,BB,0,sec_filings/VC/2015_Q1.txt
VC,2014-03-25,2014_Q1,BB,0,sec_filings/VC/2014_Q1.txt
VC,2012-06-15,2012_Q2,B,0,sec_filings/VC/2012_Q2.txt
NWE,2013-08-22,2013_Q3,BBB,1,sec_filings/NWE/2013_Q3.txt
NWE,2015-03-31,2015_Q1,A,1,sec_filings/NWE/2015_Q1.txt
NWE,2011-03-24,2011_Q1,A,1,sec_filings/NWE/2011_Q1.txt
NWE,2012-06-15,2012_Q2,A,1,sec_filings/NWE/2012_Q2.txt
NWE,2015-07-30,2015_Q3,BBB,1,sec_filings/NWE/2015_Q3.txt
NWE,2013-02-22,2013_Q1,A,1,sec_filings/NWE/2013_Q1.txt
NBR,2016-04-22,2016_Q2,BBB,1,sec_filings/NBR/2016_Q2.txt
NBR,2014-07-28,2014_Q3,BBB,1,sec_filings/NBR/2014_Q3.txt
NBR,2014-03-20,2014_Q1,BBB,1,sec_filings/NBR/2014_Q1.txt
NBR,2013-03-22,2013_Q1,BBB,1,sec_filings/NBR/2013_Q1.txt
NBR,2016-12-02,2016_Q4,BB,0,sec_filings/NBR/2016_Q4.txt
NBR,2012-06-15,2012_Q2,BBB,1,sec_filings/NBR/2012_Q2.txt
NBR,2011-03-03,2011_Q1,BBB,1,sec_filings/NBR/2011_Q1.txt
CNSL,2012-05-14,2012_Q2,B,0,sec_filings/CNSL/2012_Q2.txt
CNSL,2013-05-23,2013_Q2,B,0,sec_filings/CNSL/2013_Q2.txt
ETN,2012-11-14,2012_Q4,A,1,sec_filings/ETN/2012_Q4.txt
ETN,2014-11-12,2014_Q4,A,1,sec_filings/ETN/2014_Q4.txt
ETN,2013-11-05,2013_Q4,A,1,sec_filings/ETN/2013_Q4.txt
ETN,2015-08-11,2015_Q3,A,1,sec_filings/ETN/2015_Q3.txt
ETN,2012-06-15,2012_Q2,A,1,sec_filings/ETN/2012_Q2.txt
ETN,2011-01-25,2011_Q1,A,1,sec_filings/ETN/2011_Q1.txt
ABBV,2016-11-14,2016_Q4,BBB,1,sec_filings/ABBV/2016_Q4.txt
ABBV,2014-07-18,2014_Q3,A,1,sec_filings/ABBV/2014_Q3.txt
AVY,2015-08-05,2015_Q3,BBB,1,sec_filings/AVY/2015_Q3.txt
AVY,2014-05-12,2014_Q2,BBB,1,sec_filings/AVY/2014_Q2.txt
AVY,2013-04-03,2013_Q2,BBB,1,sec_filings/AVY/2013_Q2.txt
AON,2014-11-26,2014_Q4,A,1,sec_filings/AON/2014_Q4.txt
AON,2015-11-09,2015_Q4,A,1,sec_filings/AON/2015_Q4.txt
AON,2012-06-15,2012_Q2,BBB,1,sec_filings/AON/2012_Q2.txt
AON,2014-02-14,2014_Q1,A,1,sec_filings/AON/2014_Q1.txt
DE,2013-08-14,2013_Q3,AA,1,sec_filings/DE/2013_Q3.txt
DE,2015-02-27,2015_Q1,A,1,sec_filings/DE/2015_Q1.txt
DE,2012-06-15,2012_Q2,A,1,sec_filings/DE/2012_Q2.txt
WPP,2014-09-18,2014_Q3,A,1,sec_filings/WPP/2014_Q3.txt
WPP,2015-07-07,2015_Q3,A,1,sec_filings/WPP/2015_Q3.txt
WPP,2013-08-13,2013_Q3,BBB,1,sec_filings/WPP/2013_Q3.txt
WPP,2012-06-15,2012_Q2,BBB,1,sec_filings/WPP/2012_Q2.txt
RIG,2016-07-05,2016_Q3,CCC,0,sec_filings/RIG/2016_Q3.txt
RIG,2015-05-26,2015_Q2,BB,0,sec_filings/RIG/2015_Q2.txt
RIG,2015-10-19,2015_Q4,BB,0,sec_filings/RIG/2015_Q4.txt
RIG,2012-06-15,2012_Q2,BBB,1,sec_filings/RIG/2012_Q2.txt
RIG,2014-03-31,2014_Q1,BB,0,sec_filings/RIG/2014_Q1.txt
RIG,2013-05-09,2013_Q2,BB,0,sec_filings/RIG/2013_Q2.txt
VZ,2014-07-23,2014_Q3,BBB,1,sec_filings/VZ/2014_Q3.txt
VZ,2014-05-16,2014_Q2,BBB,1,sec_filings/VZ/2014_Q2.txt
VZ,2015-10-22,2015_Q4,A,1,sec_filings/VZ/2015_Q4.txt
VZ,2016-10-26,2016_Q4,A,1,sec_filings/VZ/2016_Q4.txt
VZ,2012-06-15,2012_Q2,A,1,sec_filings/VZ/2012_Q2.txt
VZ,2013-03-05,2013_Q1,A,1,sec_filings/VZ/2013_Q1.txt
ETR,2013-12-18,2013_Q4,A,1,sec_filings/ETR/2013_Q4.txt
ETR,2014-12-03,2014_Q4,A,1,sec_filings/ETR/2014_Q4.txt
ETR,2015-09-10,2015_Q3,A,1,sec_filings/ETR/2015_Q3.txt
ETR,2016-08-17,2016_Q3,BBB,1,sec_filings/ETR/2016_Q3.txt
APD,2013-09-26,2013_Q3,A,1,sec_filings/APD/2013_Q3.txt
APD,2014-11-18,2014_Q4,A,1,sec_filings/APD/2014_Q4.txt
APD,2015-08-06,2015_Q3,A,1,sec_filings/APD/2015_Q3.txt
KSU,2015-11-09,2015_Q4,BBB,1,sec_filings/KSU/2015_Q4.txt
EIX,2015-09-17,2015_Q3,A,1,sec_filings/EIX/2015_Q3.txt
EIX,2014-11-06,2014_Q4,A,1,sec_filings/EIX/2014_Q4.txt
